Date/Time,环境:场地室外空气干球温度 [C](小时),热区: 空间102:区平均气温[C](小时),热区: 空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能 [KW.h](小时),热区: 空间102 VRF风机:风机电能 [KW.h](小时),VRF热泵:VRF热泵冷却电能[KW.h](小时),VRF热泵:VRF热泵加热电能[KW.h](小时)
 01/02  19:00:00,6.6625,14.39630278,37.66095764,529.2930611,-0.924286402,23.05987491,0.383618639,0,0,0
 01/02  20:00:00,5.9625,13.85621865,37.96178165,451.5164077,-1.958102802,74.82876332,0.383618639,0,0,0
 01/02  21:00:00,5.3875,13.60002295,38.58380462,421.7879026,-1.992762316,76.4329924,0.383618639,0,0,0
 01/02  22:00:00,5.0125,13.4378446,39.45448914,413.7790067,-2.009940811,77.20880284,0.383618639,0,0,0
 01/02  23:00:00,4.8375,13.36267812,40.15920529,411.6232549,-2.017408934,77.54230589,0.383618639,0,0,0
 01/02  24:00:00,4.8,11.80266104,45.18633883,411.0932278,-2.131648161,82.20008094,0,0,0,0
 01/03  01:00:00,4.8,11.39981757,47.04048743,410.9193834,-1.257867684,38.121892,0,0,0,0
 01/03  02:00:00,4.675,11.33483957,47.73890804,410.8621099,-1.265500109,38.50757421,0,0,0,0
 01/03  03:00:00,4.35,11.22832746,48.40034165,410.8415284,-1.276956156,39.08930648,0,0,0,0
 01/03  04:00:00,3.7625,11.05353357,49.13779024,410.834134,-1.295867972,40.05662316,0,0,0,0
 01/03  05:00:00,2.9375,10.81139582,49.59974306,410.8314795,-1.32466359,41.54462417,0,0,0,0
 01/03  06:00:00,2.1,10.55801298,49.7297689,410.8305283,-1.357827805,43.278873,0,0,0,0
 01/03  07:00:00,1.3625,10.3288117,49.58581536,410.8301882,-1.389450325,44.95091402,0,0,0,0
 01/03  08:00:00,0.975,11.54093295,44.99425269,410.8300619,-1.312374081,40.94691204,0.383618639,0,0,0
 01/03  09:00:00,1.525,11.97118693,43.70747245,410.8300153,-1.234013874,36.92714958,0.383618639,0,0,0
 01/03  10:00:00,2.9,14.09211503,41.55846003,613.5520384,-1.058160015,28.82091266,0.383618639,0,0,0
 01/03  11:00:00,4.5625,14.8155785,43.46123763,725.4807605,-0.894421178,21.8932683,0.383618639,0,0,0
 01/03  12:00:00,6.2625,15.43498034,43.39203766,734.3921762,-0.82422139,19.34241727,0.383618639,0,0,0
 01/03  13:00:00,7.9,15.58847311,42.72058526,683.1438981,-0.783400305,17.93564088,0.383618639,0,0,0
 01/03  14:00:00,9.375,16.24084453,40.32633416,671.0392805,-0.721326902,15.96364374,0.383618639,0,0,0
 01/03  15:00:00,10.7125,16.76661814,38.34375486,681.1524796,-0.652576935,13.94790717,0.383618639,0,0,0
 01/03  16:00:00,11.6375,17.36109841,37.36620694,742.4339075,-0.595838284,12.45438499,0.383618639,0,0,0
 01/03  17:00:00,11.7125,17.31012349,36.99161235,740.9147227,-0.567895413,11.7561954,0.383618639,0,0,0
 01/03  18:00:00,11.1,16.64227761,36.45196671,643.3505254,-0.630506968,13.36678606,0.383618639,0,0,0
 01/03  19:00:00,10.175,15.9280307,35.84229908,530.2016879,-0.716055141,15.80349108,0.383618639,0,0,0
 01/03  20:00:00,9.05,15.31556485,35.86766524,451.9311916,-1.751539956,64.48672146,0.383618639,0,0,0
 01/03  21:00:00,7.9125,14.91582262,36.53202705,421.9375345,-1.799783518,67.00787366,0.383618639,0,0,0
 01/03  22:00:00,7,14.61569352,37.58534879,413.8253198,-1.830135237,68.56540175,0.383618639,0,0,0
