日期/时间,环境:场地室外空气干球温度[C](小时),热区:空间102:区平均气温[C](小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[KWh](小时),VRF热泵:VRF热泵冷却电能[kwh](小时),VRF热泵:VRF热泵加热电能[kwh](小时)
 04/17  19:00:00,19.5875,23.77458662,53.86575797,583.1707371,-1.245766163,37.51765762,0.09590466,0,0
 04/17  20:00:00,18.9,23.43350061,53.56069795,494.3045464,-1.305719042,40.5676507,0.09590466,0,0
 04/17  21:00:00,18.1625,23.15665517,53.38716667,447.42855,-1.362326459,43.5164933,0.09590466,0,0
 04/17  22:00:00,17.4625,22.91290465,53.08689238,427.6668001,-0.383585404,8.067845761,0.09590466,0,0
 04/17  23:00:00,16.825,22.67736447,52.69333376,419.3468379,-0.429332129,8.847063697,0.09590466,0,0
 04/17  24:00:00,16.225,20.57792962,58.650082,415.8319544,-0.666999769,14.8434328,0,0,0
 04/18  01:00:00,15.625,19.69830387,60.14150813,414.165268,-0.915030468,22.68884697,0,0,0
 04/18  02:00:00,15.025,19.46404828,59.53011101,413.6262711,-0.973184393,25.00857328,0,0,0
 04/18  03:00:00,14.3625,19.233667,59.17665791,413.4308274,-1.02505061,27.19022264,0,0,0
 04/18  04:00:00,13.6625,18.99428872,59.04064807,413.3600405,-1.077970083,29.51898153,0,0,0
 04/18  05:00:00,12.9,18.74026172,59.31112284,413.3344423,-1.131575996,31.97801131,0,0,0
 04/18  06:00:00,12.2875,18.51338072,59.792367,413.3252008,-1.183518053,34.44828225,0,0,0
 04/18  07:00:00,11.975,18.36289025,60.36351821,413.3218712,-1.221797001,36.32031973,0,0,0
 04/18  08:00:00,12.0875,19.72947929,55.9831102,413.3207276,-2.109724475,81.2029924,0.09590466,0,0
 04/18  09:00:00,12.575,20.29001851,55.20880406,413.3202867,-1.952286362,74.55664261,0.09590466,0,0
 04/18  10:00:00,13.3,21.98970759,54.25036242,605.5003083,-1.731007997,63.25621498,0.09590466,0,0
 04/18  11:00:00,14.1625,22.51221935,55.66125722,729.4582343,-1.538631994,53.00212543,0.09590466,0,0
 04/18  12:00:00,15.1875,22.81151309,55.34311749,758.4318032,-1.494430395,50.59863479,0.09590466,0,0
 04/18  13:00:00,16.2875,22.8953932,54.17216317,724.9854741,-1.467493966,49.13810709,0.09590466,0,0
 04/18  14:00:00,17.45,23.31023683,51.92811008,709.3324177,-1.421186781,46.64779425,0.09590466,0,0
 04/18  15:00:00,18.7125,23.74733307,50.47434339,715.4896803,-1.345768844,42.64911942,0.09590466,0,0
 04/18  16:00:00,19.7625,23.99422205,51.28246101,769.8989321,-1.280822948,39.28792774,0.09590466,2.191007017,0
 04/18  17:00:00,19.975,24.00140823,52.05437768,778.8472423,-1.261508127,38.30561334,0.09590466,1.670897839,0
 04/18  18:00:00,19.5875,23.86595422,51.13525966,695.586594,-1.27751404,39.11922248,0.09590466,0,0
 04/18  19:00:00,19.025,23.47015015,50.29373956,583.0503609,-1.340071375,42.35360765,0.09590466,0,0
 04/18  20:00:00,18.3,23.0826418,49.853561,494.1296881,-1.414584762,46.29406231,0.09590466,0,0
 04/18  21:00:00,17.625,22.81021154,49.96149052,447.296552,-1.471493598,49.35481164,0.09590466,0,0
 04/18  22:00:00,17.0875,22.61415378,50.71555905,427.5935026,-0.478907757,9.791473529,0.09590466,0,0
 04/18  23:00:00,16.7125,22.46673871,51.53221665,419.3117915,-0.501717068,10.26177559,0.09590466,0,0
 04/18  24:00:00,16.475,20.48929684,58.75333316,415.8187502,-0.711974592,16.10238052,0,0,0
 04/19  01:00:00,16.2125,19.71833705,61.98205793,414.1627643,-0.929091956,23.23360918,0,0,0
 04/19  02:00:00,15.9125,19.58392557,62.84471084,413.626225,-0.958374554,24.4010287,0,0,0
 04/19  03:00:00,15.55,19.4477039,63.94581389,413.4311973,-0.98259997,25.3939539,0,0,0
 04/19  04:00:00,15.025,19.26970831,64.82377949,413.360334,-1.015016779,26.75837359,0,0,0
 04/19  05:00:00,14.425,19.0654565,65.56708166,413.3346093,-1.055244231,28.50505366,0,0,0
 04/19  06:00:00,13.95,18.88839801,66.25964802,413.3252849,-1.093590317,30.22302028,0,0,0
 04/19  07:00:00,13.675,18.76418144,67.0671651,413.3219105,-1.121939326,31.52561119,0,0,0
 04/19  08:00:00,13.7875,20.23130204,61.64712645,413.3207459,-1.999126416,76.47042145,0.09590466,0,0
 04/19  09:00:00,14.4,20.96360135,59.63280719,413.3202952,-1.81856382,67.96884387,0.09590466,0,0
 04/19  10:00:00,15.325,22.71497718,58.09285869,605.5071683,-1.57791004,55.1165213,0.09590466,0,0
 04/19  11:00:00,16.45,23.20089614,59.56484112,729.9548726,-1.393158368,45.14816802,0.09590466,0,0
 04/19  12:00:00,17.7125,23.57392549,58.79729488,759.4041145,-1.332414055,41.95186104,0.09590466,0,0
 04/19  13:00:00,19.0125,23.73822912,56.80957705,726.2797931,-1.292533296,39.88526516,0.09590466,0,0
 04/19  14:00:00,20.4375,23.99036877,54.48791819,710.794021,-1.259249369,38.19268709,0.09590466,1.418830636,0
 04/19  15:00:00,21.9375,24.00172976,53.66181174,717.3562236,-1.248403278,37.64560824,0.09590466,3.825871702,0
 04/19  16:00:00,23.125,24.00204784,54.32831963,772.3358339,-1.23690968,37.07081836,0.09590466,6.887348346,0
 04/19  17:00:00,23.375,24.00250255,53.99778834,781.8316352,-1.222970512,36.3775364,0.09590466,6.589086089,0
 04/19  18:00:00,22.9875,24.0019911,51.66003732,698.5939458,-1.229931787,36.72320853,0.09590466,4.458780704,0
 04/19  19:00:00,22.3,24.00105978,49.30750231,585.4314634,-1.248554917,37.65356018,0.09590466,2.246219453,0
 04/19  20:00:00,21.5,24.00035624,47.87966423,495.668332,-1.262982653,38.38023701,0.09590466,0.496599783,0
 04/19  21:00:00,20.6375,23.90680277,48.06784499,448.1622087,-1.272044567,38.83964548,0.09590466,0,0
 04/19  22:00:00,19.8,23.69559575,49.4883743,428.0389517,-0.271143124,6.527592364,0.09590466,0,0
 04/19  23:00:00,19,23.47181542,51.30691829,419.5289313,-0.294681907,6.805196093,0.09590466,0,0
 04/19  24:00:00,18.2625,21.34885912,60.0368965,415.9186584,-0.510517168,10.89584492,0,0,0
 04/20  01:00:00,17.625,20.35846424,65.41655637,414.1996292,-0.754445801,16.99258868,0,0,0
 04/20  02:00:00,16.9625,20.12155989,67.75477588,413.6404311,-0.793089493,18.26095898,0,0,0
 04/20  03:00:00,16.325,19.90599164,69.82100782,413.4365342,-0.82697257,19.42780329,0,0,0
 04/20  04:00:00,15.725,19.7021571,71.25953568,413.3623157,-0.862620652,20.70787712,0,0,0
 04/20  05:00:00,15.125,19.49712722,72.12125121,413.3353421,-0.902699574,22.20959299,0,0,0
 04/20  06:00:00,14.7125,19.33489884,72.47977303,413.3255554,-0.94045935,23.68240109,0,0,0
 04/20  07:00:00,14.475,19.22382936,72.54297882,413.3220104,-0.9693788,24.84933464,0,0,0
 04/20  08:00:00,14.525,20.71961365,65.97653474,413.3207858,-1.847829184,69.28045378,0.09590466,0,0
 04/20  09:00:00,14.7875,21.41780029,63.28349813,413.3203115,-1.671263261,60.20619319,0.09590466,0,0
 04/20  10:00:00,15.0875,22.93867095,61.50291059,605.0464729,-1.468446125,49.23444238,0.09590466,0,0
 04/20  11:00:00,15.45,23.19716828,63.17077672,728.8693257,-1.325939196,41.61026146,0.09590466,0,0
 04/20  12:00:00,15.9125,23.33951913,63.14124326,757.8275177,-1.303864311,40.46855734,0.09590466,0,0
 04/20  13:00:00,16.5375,23.27378421,62.79786219,724.4220144,-1.301811028,40.36284346,0.09590466,0,0
 04/20  14:00:00,17.3,23.56234909,61.81191233,708.6396608,-1.270543229,38.76796938,0.09590466,0,0
 04/20  15:00:00,18.35,23.89330951,61.87576822,714.6111044,-1.208228815,35.65595614,0.09590466,0.108974502,0
 04/20  16:00:00,19.6125,23.99993163,65.01260077,768.8770915,-1.15013375,32.84982224,0.09590466,3.042405337,0
 04/20  17:00:00,20.5375,24.0009486,68.28344311,778.2677066,-1.122461923,31.54962188,0.09590466,3.308844268,0
 04/20  18:00:00,20.6125,24.00107664,68.69857542,695.7574936,-1.114800758,31.19425694,0.09590466,1.522124134,0
 04/20  19:00:00,19.9375,23.90102508,66.79160442,583.4591153,-1.134782332,32.12673899,0.09590466,0,0
 04/20  20:00:00,18.975,23.52652399,64.97030795,494.4807715,-1.203746833,35.4405951,0.09590466,0,0
 04/20  21:00:00,17.9125,23.1656291,63.14249527,447.5163263,-1.283446679,39.4251661,0.09590466,0,0
 04/20  22:00:00,17,22.84114099,61.2560505,427.7001613,-0.330980942,7.285220624,0.09590466,0,0
 04/20  23:00:00,16.2625,22.5613228,59.82374459,419.3587772,-0.391916374,8.204884557,0.09590466,0,0
 04/20  24:00:00,15.6875,20.45390642,66.08140567,415.8346076,-0.639118798,14.07213389,0,0,0
 04/21  01:00:00,15.1875,19.63837057,67.69178128,414.1649055,-0.879082811,21.3196104,0,0,0
 04/21  02:00:00,14.6875,19.44171822,67.51357499,413.6258118,-0.9276489,23.17746231,0,0,0
 04/21  03:00:00,14.125,19.24249463,67.45926906,413.43056,-0.972245633,24.96908215,0,0,0
 04/21  04:00:00,13.4625,19.01838862,67.24219269,413.3599109,-1.022014466,27.05991158,0,0,0
 04/21  05:00:00,12.7,18.76772437,66.89765065,413.3343819,-1.078043975,29.52319487,0,0,0
 04/21  06:00:00,12.025,18.53215803,66.49420762,413.3251734,-1.134555742,32.11700935,0,0,0
 04/21  07:00:00,11.675,18.3730039,66.08326861,413.3218589,-1.179835171,34.26930369,0,0,0
