日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时),,,
 01/05  12:00:00,7.675,22.00068457,31.51623069,723.5389453,-0.834926467,19.70724526,0.038361864,0,2.120266908,,,
 01/05  13:00:00,9.5625,22.00089372,31.04746156,681.7986804,-0.82703952,19.42829341,0.038361864,0,1.926134448,,,
 01/05  14:00:00,11.075,22.00098055,30.2313744,668.4684191,-0.825901857,19.38834637,0.038361864,0,1.582943375,,,
 01/05  15:00:00,12.1625,22.00106344,29.78465321,676.7598232,-0.818993687,19.14738,0.038361864,0,1.354553511,,,
 01/05  16:00:00,12.75,22.00103945,30.99371451,733.2157469,-0.792393235,18.23654107,0.038361864,0,0.957580087,,,
 01/05  17:00:00,12.5875,22.00092549,32.37252014,735.4184992,-0.790582886,18.17478016,0.038361864,0,1.118812342,,,
 01/05  18:00:00,11.65,22.00058593,32.59250728,646.7657343,-0.791032593,18.18985702,0.038361864,0,1.493341142,,,
 01/05  19:00:00,10.2,22.00025423,32.22321482,539.1542171,-0.79370431,18.27987798,0.038361864,0,1.850568991,,,
 01/05  20:00:00,8.475,22.00009474,31.73575742,461.9979806,-0.795357325,18.33570388,0.038361864,0,2.187723875,,,
 01/05  21:00:00,6.7375,22.00008705,31.18797424,427.5925132,-0.795785557,18.35018276,0.038361864,0,2.492627039,,,
 01/05  22:00:00,5.2875,21.92742954,30.5424163,416.3398906,0.16279672,5.549275956,0.038361864,0,2.771897458,,,
 01/05  23:00:00,4.175,21.45287355,30.45365776,412.5567241,0.120298705,5.302202175,0.038361864,0,2.958901159,,,
 01/05  24:00:00,3.3,15.98982987,41.66906379,411.4724574,-0.259893291,7.799593159,0,0,0,,,
 01/06  01:00:00,2.6875,14.14047177,44.63338877,411.0359921,-0.633005307,13.41617266,0,0,0,,,
 01/06  02:00:00,2.1875,13.87211651,43.75097596,410.9026442,-0.68249199,14.79446069,0,0,0,,,
 01/06  03:00:00,1.6875,13.63231171,42.97744653,410.8555937,-0.724757245,16.05718781,0,0,0,,,
 01/06  04:00:00,1.1875,13.40474606,42.39048833,410.8390079,-0.763713705,17.28924035,0,0,0,,,
 01/06  05:00:00,0.625,13.16981687,41.94320424,410.8331668,-0.80184041,18.55839188,0,0,0,,,
 01/06  06:00:00,0.15,12.95170148,41.57554817,410.831112,-0.839328308,19.86533144,0,0,0,,,
 01/06  07:00:00,-0.25,12.75816968,41.20989556,410.8303901,-0.872441233,21.0690001,0,0,0,,,
 01/06  08:00:00,-0.4625,18.50255159,28.19772273,410.8301363,-1.44788958,48.32733017,0.038361864,0,3.122116205,,,
 01/06  09:00:00,-0.1875,20.10619283,25.01681823,410.8300385,-1.107625743,30.86462985,0.038361864,0,3.119167141,,,
 01/06  10:00:00,0.8125,21.31904414,27.18178702,606.599655,-0.994105994,25.94418589,0.038361864,0,3.075597816,,,
 01/06  11:00:00,2.55,21.65846846,29.74901854,706.6015841,-0.902545115,22.20361105,0.038361864,0,3.048065245,,,
 01/06  12:00:00,4.675,21.99298921,30.82302269,721.2838115,-0.852743255,20.34804038,0.038361864,0,2.842341371,,,
