日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时)
 12/04  24:00:00,9.2125,15.52216871,39.13428581,411.7875447,-0.634453125,13.78346635,0,0,0
 12/05  01:00:00,8.9125,14.66790264,41.10791548,411.7691804,-0.809397466,18.81608134,0,0,0
 12/05  02:00:00,8.55,14.50685238,41.24162547,411.7633076,-0.834357066,19.68752247,0,0,0
 12/05  03:00:00,8.15,14.35487372,41.05075655,411.7611906,-0.857415988,20.51629357,0,0,0
 12/05  04:00:00,7.6875,14.19356877,40.35586977,411.7604281,-0.882217216,21.43254496,0,0,0
 12/05  05:00:00,7.1875,14.02050648,39.00115606,411.7601537,-0.911307023,22.53935991,0,0,0
 12/05  06:00:00,6.75,13.85905539,37.19893091,411.7600551,-0.941985891,23.74305737,0,0,0
 12/05  07:00:00,6.475,13.73800588,35.08193009,411.7600198,-0.969256295,24.844156,0,0,0
 12/05  08:00:00,6.4625,17.77751594,24.95867007,411.7600051,-1.638333589,58.1858725,5.415881507,0,21.42871094
 12/05  09:00:00,6.8125,18.00059003,22.62503152,411.7600008,-1.505486001,51.19823107,5.415881507,0,16.92444744
 12/05  10:00:00,7.5625,17.69044159,24.1827047,569.2738967,-1.510388634,51.46485751,5.415881507,0,3.089967731
 12/05  11:00:00,8.5875,17.78747153,23.66354597,621.1314894,-1.520025098,51.98952466,5.415881507,0,4.981710418
 12/05  12:00:00,9.6875,17.35292832,22.65065753,617.915326,-1.543579108,53.27221748,5.415881507,0,0
 12/05  13:00:00,10.475,17.66141237,20.20114583,579.1353268,-1.539857791,53.06963586,5.415881507,0,4.036720776
 12/05  14:00:00,10.6375,17.49403213,19.39430539,573.3229362,-1.530696666,52.57018686,5.415881507,0,0
 12/05  15:00:00,10.0375,17.30695711,19.49780947,581.6081619,-1.558232683,54.07010601,5.415881507,0,0
 12/05  16:00:00,8.95,17.45760588,21.27036862,626.2946022,-1.536375919,52.87941077,5.415881507,0,0
 12/05  17:00:00,7.625,17.81584876,23.00860424,617.6399303,-1.507031919,51.28276001,5.415881507,0,6.632994644
