Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/10  15:00:00,6.95,19.00091664,27.02841897,578.1407919,-0.312019398
 01/10  16:00:00,7.4125,19.00054509,26.212155,626.1668333,-0.31417784600000004
 01/10  17:00:00,7.7875,19.00055427,25.57270159,612.5362713,-0.314317162
 01/10  18:00:00,7.775,19.00056555,24.47211255,535.9114308000001,-0.318104395
 01/10  19:00:00,7.45,19.00031938,23.49660666,464.56958080000004,-0.323318609
 01/10  20:00:00,6.9875,19.00003121,23.37138858,423.50861289999995,-1.288893587
 01/10  21:00:00,6.4875,19.00000001,24.0995782,412.4814007,-1.2846283379999999
 01/10  22:00:00,6.05,19.0,24.87843511,411.0446961,-1.2792566909999998
 01/10  23:00:00,5.775,19.0,25.61707672,410.8578711,-1.274393609
 01/10  24:00:00,5.575,14.86299115,34.30778817,410.8365869,-1.5522845140000001
 01/11  01:00:00,5.375,13.48932059,38.45561586,410.8321578,-0.86106899
 01/11  02:00:00,5.2375,13.34485467,39.86725593,410.8307711,-0.884043382
 01/11  03:00:00,5.0125,13.21771211,40.98154143,410.83027549999997,-0.9005837790000001
 01/11  04:00:00,4.7125,13.07615312,41.70233366,410.8300984,-0.920296204
 01/11  05:00:00,4.35,12.92553334,41.84794187,410.83003510000003,-0.9419969029999999
 01/11  06:00:00,3.95,12.76440021,41.46899041,410.8300125,-0.9673354890000001
 01/11  07:00:00,3.6125,12.61757546,40.77143786,410.8300045,-0.9927569890000001
 01/11  08:00:00,3.4375,15.09625727,33.41650094,410.83000110000006,-0.827418089
 01/11  09:00:00,4.275,16.53483611,30.30911417,410.8300001,-0.6366673079999999
 01/11  10:00:00,5.7375,18.90875756,30.12899218,578.3166378999999,-0.390647453
 01/11  11:00:00,6.8,19.00075122,31.53890451,619.2579837000001,-0.311754302
 01/11  12:00:00,7.35,19.00071403,31.078521399999996,614.6388557,-0.303585302
 01/11  13:00:00,7.625,19.000842499999997,29.1809788,571.1640182,-0.30689590000000005
 01/11  14:00:00,7.825,19.00063491,27.84649355,570.2548206,-0.309886934
 01/11  15:00:00,8.0875,19.00048818,27.26061899,578.9043155,-0.302684083
 01/11  16:00:00,8.45,19.00025786,28.01946156,626.9872124,-0.293630838
 01/11  17:00:00,8.5375,19.00039064,27.97822441,613.3139689,-0.294147092
 01/11  18:00:00,8.3125,19.00041337,27.22214004,536.4289832,-0.292665959
 01/11  19:00:00,7.95,19.00019739,26.82652831,464.83007599999996,-0.298716824
 01/11  20:00:00,7.4875,19.00002371,26.80030621,423.6024523,-1.264627057
 01/11  21:00:00,7.05,19.00000001,27.36029758,412.503002,-1.261183149
 01/11  22:00:00,6.7125,19.0,28.23637983,411.0488082,-1.254494928
 01/11  23:00:00,6.475,19.0,29.076169300000004,410.8585828,-1.247987183
 01/11  24:00:00,6.275,15.07715264,38.31032404,410.8367832,-1.509645984
 01/12  01:00:00,6.075,13.75660666,42.64240393,410.83222620000004,-0.805601641
 01/12  02:00:00,5.875,13.60784073,44.18555688,410.83079680000003,-0.827562624
 01/12  03:00:00,5.6125,13.476730400000001,45.62725679,410.8302851,-0.8434430620000001
 01/12  04:00:00,5.25,13.32999508,46.75226555,410.8301019,-0.8609222790000001
 01/12  05:00:00,4.85,13.17336866,47.40400757,410.8300364,-0.8818966999999999
 01/12  06:00:00,4.45,13.01599082,47.83161377,410.830013,-0.904141412
 01/12  07:00:00,4.1125,12.87106593,48.06820125,410.8300046,-0.926421713
 01/12  08:00:00,3.9375,15.24912643,40.72520919,410.83000110000006,-0.764831954
 01/12  09:00:00,4.15,16.09476016,38.2926559,410.8300001,-0.614072744
 01/12  10:00:00,4.675,18.06941965,36.56473343,575.448071,-0.448116136
 01/12  11:00:00,5.275,18.99672606,35.60210961,619.5116684999999,-0.292986175
 01/12  12:00:00,5.875,19.00082278,35.40916448,614.2011512999999,-0.27593659800000003
 01/12  13:00:00,6.5375,19.00074759,34.56268965,570.8437803999999,-0.274335507
 01/12  14:00:00,7.2375,19.00050134,34.68750182,570.0820808,-0.27017577800000003
 01/12  15:00:00,8.0,19.00038971,35.22754101,578.8461986000001,-0.263605385
 01/12  16:00:00,8.675,19.00018304,36.98371943,627.0293217999999,-0.252465775
 01/12  17:00:00,8.8375,19.00031358,37.64592414,613.3888997,-0.244347249
 01/12  18:00:00,8.6125,19.0004354,36.73967227,536.4854111000001,-0.24688592399999998
 01/12  19:00:00,8.1875,19.00026828,35.84178648,464.85950999999994,-0.252163097
 01/12  20:00:00,7.75,19.00004834,35.50884872,423.613194,-1.218642435
 01/12  21:00:00,7.35,19.00000036,35.58657977,412.5059361,-1.216715395
 01/12  22:00:00,7.0125,19.00003607,35.48857489,411.049426,-1.21514117
 01/12  23:00:00,6.8375,19.00000497,35.42329118,410.8587023,-1.214471833
 01/12  24:00:00,6.675,15.1706193,45.40128884,410.8368181,-1.4727421109999999
 01/13  01:00:00,6.5375,13.89781514,49.13350189,410.832241,-0.764205348
 01/13  02:00:00,6.3125,13.75345102,49.48510756,410.8308029,-0.787973728
 01/13  03:00:00,5.95,13.59430308,49.561552299999995,410.8302875,-0.8123507240000001
 01/13  04:00:00,5.425,13.40376733,49.71961165,410.8301028,-0.838833202
 01/13  05:00:00,4.825,13.19375584,49.815348799999995,410.8300367,-0.8686955279999999
 01/13  06:00:00,4.1625,12.97028784,49.98781228,410.83001310000003,-0.899391145
 01/13  07:00:00,3.65,12.77268908,50.05356923,410.83000469999996,-0.930199997
 01/13  08:00:00,3.375,14.6548116,43.89589181,410.83000110000006,-0.8035688870000001
 01/13  09:00:00,3.7375,15.37205337,42.30292594,410.8300001,-0.6838204640000001
 01/13  10:00:00,4.6875,17.78438137,39.94030499,571.0289032000001,-0.492613562
 01/13  11:00:00,5.725,19.00062517,39.85341951,619.0551245,-0.26736591
 01/13  12:00:00,6.6625,19.00063112,40.64193751,614.1644726,-0.253219624
 01/13  13:00:00,7.5,19.00062373,40.15274971,570.8313037,-0.24909271800000002
