Date/Time,环境: 现场室外空气干球温度 [C](Hourly),热区: 空间102: 区域平均气温 [C](Hourly),热区: 空间102: 区域空气相对湿度[%](Hourly),热区: 空间102: 区域空气二氧化碳浓度 [ppm](Hourly),区域热舒适吸管模型 pmv [](Hourly),区域热舒适吸血鬼模型 ppd [%](Hourly),电源风扇: 风扇电能 [KWH](Hourly),热区: 空间102 vrf 供应风扇: 风扇电能 [KWH](Hourly),Vrf 热泵: vrf 热泵冷却电能 [KWH](Hourly),Vrf 热泵: vrf 热泵加热电能[KWH](Hourly),热回收: 热交换器电能 [KWH](Hourly) 
 01/03  24:00:00,5.6875,12.63034813,44.27602995,411.4103204,-1.977741958,75.61122801,0,0,0,0,0
 01/04  01:00:00,5.25,12.07592246,47.18686877,411.0270242,-1.12103696,31.48355035,0,0,0,0,0
 01/04  02:00:00,4.9125,11.93899549,48.88168669,410.9007045,-1.13670381,32.21453804,0,0,0,0,0
 01/04  03:00:00,4.55,11.81036592,50.70017153,410.855354,-1.149285664,32.80761701,0,0,0,0,0
 01/04  04:00:00,4.15,11.67099232,52.54273008,410.839083,-1.163407261,33.47920115,0,0,0,0,0
 01/04  05:00:00,3.6875,11.52003227,54.05701187,410.8332504,-1.179084012,34.23205259,0,0,0,0,0
 01/04  06:00:00,3.25,11.36960054,55.04001403,410.8311617,-1.197498575,35.12568624,0,0,0,0,0
 01/04  07:00:00,2.9125,11.2414048,55.37797931,410.8304148,-1.215912402,36.02903901,0,0,0,0,0
 01/04  08:00:00,2.7375,12.61802208,50.13310855,410.8301459,-1.122356302,31.62077167,0.09590466,0,0,0,0
 01/04  09:00:00,3.075,13.05209969,48.19817707,410.8300421,-1.037453437,27.72365878,0.09590466,0,0,0,0
 01/04  10:00:00,4.1125,15.10486062,44.74374447,622.2183716,-0.87543853,21.38477184,0.09590466,0,0,0,0
 01/04  11:00:00,5.5375,15.7755407,45.30730106,753.2259474,-0.721859898,15.96639922,0.09590466,0,0,0,0
 01/04  12:00:00,7.225,16.3150253,44.20774266,769.7459904,-0.670589081,14.45808086,0.09590466,0,0,0,0
 01/04  13:00:00,9.025,16.54039999,42.61546115,719.1921502,-0.625678638,13.2163271,0.09590466,0,0,0,0
 01/04  14:00:00,10.6375,17.23021678,40.00375388,704.27413,-0.559577689,11.57010047,0.09590466,0,0,0,0
 01/04  15:00:00,12.0125,17.74981466,38.46727756,714.2146969,-0.491907534,10.06056445,0.09590466,0,0,0,0
 01/04  16:00:00,12.875,18.32421123,38.69827932,778.6479204,-0.434884005,8.954722262,0.09590466,0,0,0,0
 01/04  17:00:00,12.7875,18.16161296,40.88489629,781.187672,-0.416282047,8.613834552,0.09590466,0,0,0,0
 01/04  18:00:00,11.85,17.48149722,42.88547657,679.3647187,-0.461317767,9.458913954,0.09590466,0,0,0,0
 01/04  19:00:00,10.275,16.60910121,44.6248525,555.0625154,-0.550587872,11.37007671,0.09590466,0,0,0,0
 01/04  20:00:00,8.475,15.72510515,46.14115381,465.2602639,-1.610268118,56.90211637,0.09590466,0,0,0,0
 01/04  21:00:00,6.675,15.03220296,47.09764764,427.7163721,-1.690038898,61.21496424,0.09590466,0,0,0,0
 01/04  22:00:00,5.125,14.45080867,47.36993141,416.0495885,-1.759533182,64.90829622,0.09590466,0,0,0,0
 01/04  23:00:00,3.975,14.04313411,46.92006014,412.4386136,-1.813063406,67.69111742,0.09590466,0,0,0,0
 01/04  24:00:00,3.1625,12.28989666,50.94012059,411.3965109,-1.961924032,74.88811662,0,0,0,0,0
 01/05  01:00:00,2.525,11.72711742,51.14167635,411.0205146,-1.11414335,31.16577548,0,0,0,0,0
 01/05  02:00:00,1.9875,11.52229605,50.31552257,410.8977228,-1.148309096,32.7622963,0,0,0,0,0
 01/05  03:00:00,1.4875,11.34136305,49.44830297,410.8540443,-1.177355842,34.1492983,0,0,0,0,0
 01/05  04:00:00,0.925,11.14815522,48.48553715,410.8385254,-1.207528178,35.61733867,0,0,0,0,0
 01/05  05:00:00,0.325,10.94071619,47.5699519,410.8330183,-1.240342628,37.24293234,0,0,0,0,0
 01/05  06:00:00,-0.2125,10.74584313,46.44236547,410.8310671,-1.272639833,38.87052648,0,0,0,0,0
 01/05  07:00:00,-0.65,10.57390539,44.97026288,410.8303768,-1.303539659,40.45139979,0,0,0,0,0
 01/05  08:00:00,-0.8625,11.82035449,39.71405889,410.8301312,-1.225610585,36.55964732,0.09590466,0,0,0,0
